,fdp,power,method,seed
0,0.07692307692307693,0.6792452830188679,acs,0
0,0.0,0.0,SVR,0
0,0.0,0.18867924528301888,GB,0
0,0.0,0.0,RF,0
0,0.0,0.18867924528301888,naive,0
0,0.19047619047619047,0.3269230769230769,acs,1
0,0.14285714285714285,0.11538461538461539,SVR,1
0,0.17142857142857143,0.5576923076923077,GB,1
0,0.26666666666666666,0.21153846153846154,RF,1
0,0.17142857142857143,0.5576923076923077,naive,1
0,0.15789473684210525,1.0,acs,2
0,0.5,0.020833333333333332,SVR,2
0,0.06896551724137931,0.5625,GB,2
0,0.13157894736842105,0.6875,RF,2
0,0.06896551724137931,0.5625,naive,2
0,0.17647058823529413,0.6363636363636364,acs,3
0,0.0,0.0,SVR,3
0,0.26666666666666666,0.5,GB,3
0,0.0,0.022727272727272728,RF,3
0,0.26666666666666666,0.5,naive,3
0,0.08571428571428572,0.6274509803921569,acs,4
0,0.25,0.11764705882352941,SVR,4
0,0.14814814814814814,0.45098039215686275,GB,4
0,0.6666666666666666,0.0196078431372549,RF,4
0,0.14814814814814814,0.45098039215686275,naive,4
0,0.1016949152542373,0.9464285714285714,acs,5
0,0.0,0.017857142857142856,SVR,5
0,0.041666666666666664,0.8214285714285714,GB,5
0,0.10869565217391304,0.7321428571428571,RF,5
0,0.041666666666666664,0.8214285714285714,naive,5
0,0.0625,0.8181818181818182,acs,6
0,0.0,0.12727272727272726,SVR,6
0,0.0,0.0,GB,6
0,0.10714285714285714,0.45454545454545453,RF,6
0,0.0,0.0,naive,6
0,0.07547169811320754,0.875,acs,7
0,0.0,0.08928571428571429,SVR,7
0,0.1,0.8035714285714286,GB,7
0,0.0,0.19642857142857142,RF,7
0,0.1,0.8035714285714286,naive,7
0,0.09090909090909091,0.8,acs,8
0,0.21428571428571427,0.22,SVR,8
0,0.09090909090909091,1.0,GB,8
0,0.06382978723404255,0.88,RF,8
0,0.09090909090909091,1.0,naive,8
0,0.1,0.8490566037735849,acs,9
0,0.0,0.09433962264150944,SVR,9
0,0.06521739130434782,0.8113207547169812,GB,9
0,0.3333333333333333,0.18867924528301888,RF,9
0,0.06521739130434782,0.8113207547169812,naive,9
0,0.15517241379310345,0.98,acs,10
0,0.3076923076923077,0.36,SVR,10
0,0.1,0.9,GB,10
0,0.1896551724137931,0.94,RF,10
0,0.1,0.9,naive,10
0,0.06521739130434782,1.0,acs,11
0,0.0,0.0,SVR,11
0,0.12244897959183673,1.0,GB,11
0,0.044444444444444446,1.0,RF,11
0,0.12244897959183673,1.0,naive,11
0,0.13157894736842105,0.66,acs,12
0,0.0,0.02,SVR,12
0,0.0,0.1,GB,12
0,0.0,0.0,RF,12
0,0.0,0.1,naive,12
0,0.0,0.9833333333333333,acs,13
0,0.0,0.0,SVR,13
0,0.07692307692307693,1.0,GB,13
0,0.01639344262295082,1.0,RF,13
0,0.07692307692307693,1.0,naive,13
0,0.08695652173913043,0.8076923076923077,acs,14
0,0.0,0.0,SVR,14
0,0.14814814814814814,0.4423076923076923,GB,14
0,0.0,0.0,RF,14
0,0.14814814814814814,0.4423076923076923,naive,14
0,0.12,0.5365853658536586,acs,15
0,0.2,0.1951219512195122,SVR,15
0,0.2222222222222222,0.17073170731707318,GB,15
0,0.5333333333333333,0.17073170731707318,RF,15
0,0.2222222222222222,0.17073170731707318,naive,15
0,0.09803921568627451,0.9387755102040817,acs,16
0,0.0,0.0,SVR,16
0,0.04,0.9795918367346939,GB,16
0,0.03225806451612903,0.6122448979591837,RF,16
0,0.04,0.9795918367346939,naive,16
0,0.14583333333333334,0.8541666666666666,acs,17
0,0.0,0.020833333333333332,SVR,17
0,0.02040816326530612,1.0,GB,17
0,0.0,0.0,RF,17
0,0.02040816326530612,1.0,naive,17
0,0.10526315789473684,0.68,acs,18
0,0.0,0.0,SVR,18
0,0.0,0.0,GB,18
0,0.0,0.0,RF,18
0,0.0,0.0,naive,18
0,0.027777777777777776,0.813953488372093,acs,19
0,0.0,0.0,SVR,19
0,0.0,0.0,GB,19
0,0.0,0.0,RF,19
0,0.0,0.0,naive,19
